RecordID,Timestamp,Zone,AssetType,AssetID,OperationalPurpose,UserRole,OperationType,SystemComponent,AccessedReport,ServiceImpact,SafetyImpact
ACT001,2026-03-01 06:00,West,Dispatch Control System,DCS-01,Document Delivery,Operator,Dispatch Coordination,Dispatch Control System,Dispatch Dashboard,Minor,Severe
ACT002,2026-03-01 06:30,North,UAV Fleet,UAV-01,Passenger Routing,Citizen,Flight Operation,UAV Fleet,Telemetry Report,Moderate,Minor
ACT003,2026-03-01 07:00,West,UAV Fleet,UAV-01,Emergency Response,Operator,Flight Operation,UAV Fleet,Telemetry Report,Moderate,Minor
ACT004,2026-03-01 07:30,North,Antenna Infrastructure,ANT-01,Emergency Response,Citizen,Comms Relay,Antenna Infrastructure,Maintenance Report,Minor,Moderate
ACT005,2026-03-01 08:00,North,Security Monitoring System,SOC-01,Routine Mobility,Citizen,Monitoring,Security Monitoring System,SOC Alert Feed,Severe,High
ACT006,2026-03-01 08:30,North,UAV Fleet,UAV-01,Document Delivery,Citizen,Flight Operation,UAV Fleet,Telemetry Report,Moderate,High
ACT007,2026-03-01 09:00,North,Administrative Control System,ADM-01,Document Delivery,Citizen,Admin Oversight,Administrative Control System,Admin Access Log,Major,Severe
ACT008,2026-03-01 09:30,North,Operational Data & Telemetry,DAT-01,Document Delivery,Citizen,Telemetry Consolidation,Operational Data & Telemetry,Telemetry Report,Severe,Moderate
ACT009,2026-03-01 10:00,North,Dispatch Control System,DCS-01,Medication Delivery,Citizen,Dispatch Coordination,Dispatch Control System,Dispatch Dashboard,Minor,Severe
ACT010,2026-03-01 10:30,West,UAV Fleet,UAV-02,Emergency Response,SOC Analyst,Flight Operation,UAV Fleet,Telemetry Report,Major,Severe
ACT011,2026-03-01 11:00,East,Administrative Control System,ADM-01,Passenger Routing,Admin,Admin Oversight,Administrative Control System,Admin Access Log,Moderate,Moderate
ACT012,2026-03-01 11:30,East,UAV Fleet,UAV-01,Routine Mobility,Citizen,Flight Operation,UAV Fleet,Telemetry Report,Major,High
ACT013,2026-03-01 12:00,East,Security Monitoring System,SOC-01,Emergency Response,Citizen,Monitoring,Security Monitoring System,SOC Alert Feed,Minor,Minor
ACT014,2026-03-01 12:30,South,Antenna Infrastructure,ANT-01,Emergency Response,SOC Analyst,Comms Relay,Antenna Infrastructure,Maintenance Report,Moderate,High
ACT015,2026-03-01 13:00,North,Administrative Control System,ADM-01,Medication Delivery,Citizen,Admin Oversight,Administrative Control System,Admin Access Log,Severe,High
ACT016,2026-03-01 13:30,West,Dispatch Control System,DCS-01,Passenger Routing,Citizen,Dispatch Coordination,Dispatch Control System,Dispatch Dashboard,Major,Minor
ACT017,2026-03-01 14:00,East,Operational Data & Telemetry,DAT-01,Medication Delivery,Technician,Telemetry Consolidation,Operational Data & Telemetry,Telemetry Report,Minor,Minor
ACT018,2026-03-01 14:30,West,Security Monitoring System,SOC-01,Passenger Routing,SOC Analyst,Monitoring,Security Monitoring System,SOC Alert Feed,Major,High
ACT019,2026-03-01 15:00,East,UAV Fleet,UAV-01,Emergency Response,Admin,Flight Operation,UAV Fleet,Telemetry Report,Severe,Minor
ACT020,2026-03-01 15:30,South,Administrative Control System,ADM-01,Medication Delivery,SOC Analyst,Admin Oversight,Administrative Control System,Admin Access Log,Moderate,Moderate
ACT021,2026-03-01 16:00,West,Administrative Control System,ADM-01,Emergency Response,Operator,Admin Oversight,Administrative Control System,Admin Access Log,Moderate,High
ACT022,2026-03-01 16:30,East,Administrative Control System,ADM-01,Routine Mobility,Admin,Admin Oversight,Administrative Control System,Admin Access Log,Major,Severe
ACT023,2026-03-01 17:00,East,Dispatch Control System,DCS-01,Emergency Response,Technician,Dispatch Coordination,Dispatch Control System,Dispatch Dashboard,Moderate,Moderate
ACT024,2026-03-01 17:30,South,UAV Fleet,UAV-01,Document Delivery,Admin,Flight Operation,UAV Fleet,Telemetry Report,Moderate,Minor
ACT025,2026-03-01 18:00,South,Administrative Control System,ADM-01,Routine Mobility,SOC Analyst,Admin Oversight,Administrative Control System,Admin Access Log,Major,Minor
ACT026,2026-03-01 18:30,East,UAV Fleet,UAV-02,Emergency Response,Citizen,Flight Operation,UAV Fleet,Telemetry Report,Severe,High
ACT027,2026-03-01 19:00,North,UAV Fleet,UAV-02,Routine Mobility,Technician,Flight Operation,UAV Fleet,Telemetry Report,Severe,High
ACT028,2026-03-01 19:30,West,Administrative Control System,ADM-01,Emergency Response,Operator,Admin Oversight,Administrative Control System,Admin Access Log,Major,High
ACT029,2026-03-01 20:00,North,UAV Fleet,UAV-01,Document Delivery,Admin,Flight Operation,UAV Fleet,Telemetry Report,Major,Moderate
ACT030,2026-03-01 20:30,North,UAV Fleet,UAV-01,Passenger Routing,Operator,Flight Operation,UAV Fleet,Telemetry Report,Minor,Severe
ACT031,2026-03-01 21:00,North,UAV Fleet,UAV-02,Routine Mobility,SOC Analyst,Flight Operation,UAV Fleet,Telemetry Report,Severe,Minor
ACT032,2026-03-01 21:30,West,UAV Fleet,UAV-01,Document Delivery,Admin,Flight Operation,UAV Fleet,Telemetry Report,Major,High
ACT033,2026-03-01 22:00,West,Antenna Infrastructure,ANT-01,Passenger Routing,Operator,Comms Relay,Antenna Infrastructure,Maintenance Report,Minor,High
ACT034,2026-03-01 22:30,West,Administrative Control System,ADM-01,Emergency Response,SOC Analyst,Admin Oversight,Administrative Control System,Admin Access Log,Minor,Moderate
ACT035,2026-03-01 23:00,East,UAV Fleet,UAV-01,Passenger Routing,Technician,Flight Operation,UAV Fleet,Telemetry Report,Moderate,Severe
ACT036,2026-03-01 23:30,East,UAV Fleet,UAV-01,Document Delivery,Admin,Flight Operation,UAV Fleet,Telemetry Report,Severe,Minor
ACT037,2026-03-02 00:00,East,Operational Data & Telemetry,DAT-01,Routine Mobility,Operator,Telemetry Consolidation,Operational Data & Telemetry,Telemetry Report,Major,Severe
