AccessID,Timestamp,UserID,Role,Zone,System,Action,AuthResult,ThreatFlag,AccessedReport
ADMLOG001,2026-03-01 06:00,USR01,Superuser,South,Administrative Control System,Config Change,Failure,No,Admin Access Log
ADMLOG002,2026-03-01 08:00,USR02,Superuser,South,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG003,2026-03-01 10:00,USR03,Admin,North,Administrative Control System,Login,Failure,Yes,Admin Access Log
ADMLOG004,2026-03-01 12:00,USR04,Admin,East,Administrative Control System,Antenna Control,Failure,Yes,Admin Access Log
ADMLOG005,2026-03-01 14:00,USR05,Admin,West,Administrative Control System,Antenna Control,Failure,No,Admin Access Log
ADMLOG006,2026-03-01 16:00,USR06,Admin,East,Administrative Control System,User Update,Failure,Yes,Admin Access Log
ADMLOG007,2026-03-01 18:00,USR07,Admin,South,Administrative Control System,Login,Failure,No,Admin Access Log
ADMLOG008,2026-03-01 20:00,USR08,Admin,North,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG009,2026-03-01 22:00,USR09,Superuser,North,Administrative Control System,User Update,Failure,No,Admin Access Log
ADMLOG010,2026-03-02 00:00,USR01,Admin,South,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG011,2026-03-02 02:00,USR02,Superuser,West,Administrative Control System,Dispatch Override,Success,No,Admin Access Log
ADMLOG012,2026-03-02 04:00,USR03,Admin,North,Administrative Control System,User Update,Failure,Yes,Admin Access Log
ADMLOG013,2026-03-02 06:00,USR04,External Auth Provider,West,Administrative Control System,Dispatch Override,Failure,Yes,Admin Access Log
ADMLOG014,2026-03-02 08:00,USR05,Superuser,South,Administrative Control System,Antenna Control,Failure,No,Admin Access Log
ADMLOG015,2026-03-02 10:00,USR06,Admin,South,Administrative Control System,Dispatch Override,Success,No,Admin Access Log
ADMLOG016,2026-03-02 12:00,USR07,External Auth Provider,South,Administrative Control System,Dispatch Override,Success,No,Admin Access Log
ADMLOG017,2026-03-02 14:00,USR08,Admin,South,Administrative Control System,Login,Success,No,Admin Access Log
ADMLOG018,2026-03-02 16:00,USR09,External Auth Provider,West,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG019,2026-03-02 18:00,USR01,Superuser,North,Administrative Control System,Dispatch Override,Success,No,Admin Access Log
ADMLOG020,2026-03-02 20:00,USR02,External Auth Provider,North,Administrative Control System,Dispatch Override,Failure,Yes,Admin Access Log
ADMLOG021,2026-03-02 22:00,USR03,Superuser,North,Administrative Control System,Login,Success,No,Admin Access Log
ADMLOG022,2026-03-03 00:00,USR04,External Auth Provider,East,Administrative Control System,Antenna Control,Failure,Yes,Admin Access Log
ADMLOG023,2026-03-03 02:00,USR05,Admin,West,Administrative Control System,Config Change,Failure,Yes,Admin Access Log
ADMLOG024,2026-03-03 04:00,USR06,Superuser,West,Administrative Control System,Antenna Control,Success,No,Admin Access Log
ADMLOG025,2026-03-03 06:00,USR07,External Auth Provider,South,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG026,2026-03-03 08:00,USR08,Admin,East,Administrative Control System,Dispatch Override,Failure,No,Admin Access Log
ADMLOG027,2026-03-03 10:00,USR09,External Auth Provider,North,Administrative Control System,Dispatch Override,Failure,No,Admin Access Log
ADMLOG028,2026-03-03 12:00,USR01,Superuser,South,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG029,2026-03-03 14:00,USR02,External Auth Provider,East,Administrative Control System,Antenna Control,Failure,Yes,Admin Access Log
ADMLOG030,2026-03-03 16:00,USR03,Superuser,North,Administrative Control System,Antenna Control,Success,No,Admin Access Log
ADMLOG031,2026-03-03 18:00,USR04,External Auth Provider,West,Administrative Control System,Config Change,Failure,Yes,Admin Access Log
ADMLOG032,2026-03-03 20:00,USR05,Admin,North,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG033,2026-03-03 22:00,USR06,External Auth Provider,South,Administrative Control System,Antenna Control,Failure,Yes,Admin Access Log
ADMLOG034,2026-03-04 00:00,USR07,Admin,South,Administrative Control System,Dispatch Override,Success,No,Admin Access Log
ADMLOG035,2026-03-04 02:00,USR08,External Auth Provider,South,Administrative Control System,Dispatch Override,Failure,Yes,Admin Access Log
ADMLOG036,2026-03-04 04:00,USR09,External Auth Provider,East,Administrative Control System,Dispatch Override,Failure,Yes,Admin Access Log
ADMLOG037,2026-03-04 06:00,USR01,Admin,West,Administrative Control System,Antenna Control,Success,No,Admin Access Log
ADMLOG038,2026-03-04 08:00,USR02,Admin,West,Administrative Control System,Config Change,Success,No,Admin Access Log
ADMLOG039,2026-03-04 10:00,USR03,External Auth Provider,East,Administrative Control System,Antenna Control,Success,No,Admin Access Log
ADMLOG040,2026-03-04 12:00,USR04,External Auth Provider,East,Administrative Control System,Config Change,Success,No,Admin Access Log
ADMLOG041,2026-03-04 14:00,USR05,Superuser,East,Administrative Control System,User Update,Success,No,Admin Access Log
ADMLOG042,2026-03-04 16:00,USR06,Admin,North,Administrative Control System,User Update,Failure,Yes,Admin Access Log
